"ID","AbidanceID","idlong","LineNumber","hhnumber","bcode","tencell","FirstName","LastName","dob","village","villagename","subvillagename","subvillage","balozi_first_name","balozi_second_name","hhfname","hhsname","Sex","residencestartdate","residenceenddate","starteventname","current_status","endeventname","hholdestFirst","hholdestLast"
18,700018,11223344018,18,11223344,11223,23,"MISOJI","JOHN","2003-02-15",2,"Kitumba","Igudija A",1,"DAUD","MICHAEL","SECILIA","LOGOLA","M","2012-01-17","2014-08-25","New migrant individual","M","Out migrant individual","LAMECK","SEBASTIAN"
19,700019,11223344019,19,11223344,11223,23,"MARIETHA","KAZIMILI","1980-07-15",4,"Kisesa","Bukala",5,"LEONARD","MAHYILA","GEORGE","KABADI","M","1996-04-15","1997-11-15","Baseline","M","Out migrant individual","WILLIAM","JOHN"
20,700020,11223344020,20,11223344,11223,23,"MASALU","LUCAS","1997-08-27",4,"Kisesa","Igunga",3,"MERESIANA","KAZUNGU","RAULENSIA","BULUMA","F","2008-01-30","2014-07-25","Birth","M","Out migrant individual","JUMA","KAPAYA"
21,700021,11223344021,21,11223344,11223,23,"EMMANUEL","MATHIAS","2002-01-01",1,"Igekemaja","Kanyama",5,"JUMANNE","BUMELA","DOSELA","MUSA","F","2004-05-15","2005-09-15","New migrant new HH","M","Out migrant individual","SHIJA","MBONA"
22,700022,11223344022,22,11223344,11223,23,"HILARY","SHIDA","2005-07-15",6,"Ihayabuyaga","Ilangale",3,"JAMES","NKILIGI","MATHIAS","LUMANIJA","F","2001-01-15","2002-11-15","New migrant new HH","M","Out migrant individual","SAMWELI","CHUMA"
23,700023,11223344023,23,11223344,11223,23,"PETER","EDWARD","1977-07-15",4,"Kisesa","Kisha",7,"TOBIAS","NDELENGE","MASHILI","MAGENDO","M","2000-10-14","2002-11-15","New migrant individual","M","Out migrant individual","MARY","GWANCHELE"
24,700024,11223344024,24,11223344,11223,23,"JAMES","MATIAS","1997-07-15",4,"Kisesa","Ng’wang’halanga",4,"YONA","BANGILI","FELISTA","NYANDA","M","2009-04-15","2014-07-24","Birth","M","Out migrant whole HH","SHIJA","CHACHA"
25,700025,11223344025,25,11223344,11223,23,"MUSSA","MASALU","2009-11-11",6,"Ihayabuyaga","Wita",3,"YONA","MISALABA","YAKOBO","MASASI","F","1995-12-21","2014-08-04","New migrant individual","L","Lost to follow-up","BUTAMO","PANGANI"
26,700026,11223344026,26,11223344,11223,23,"MICHAEL","JOHN","1983-02-03",4,"Kisesa","Ng’wandulu",5,"SHIDA","MIDAMO","MALIETA","MAGANGA","F","1994-05-26","1994-12-17","Birth","R","Censored at last round","EMMANUEL","MAYALA"
27,700027,11223344027,27,11223344,11223,23,"KEVIN","FABIAN","1996-11-15",2,"Kitumba","Kimaga",9,"REVOCATUS","NTOBANGI","EMMANUEL","KACHWELE","F","2011-11-10","2013-11-15","New migrant individual","R","Censored at last round","LOVETA","MASALA"
28,700028,11223344028,28,11223344,11223,23,"BENJAMIN","SHIJA","1996-07-15",5,"Isangijo","Igumo",4,"WILLIUM","KAZUNGU","EZEKIEL","YAMIHWA","F","1994-05-16","1994-08-09","New migrant new HH","M","Out migrant individual","HELENA","MALUNGUJA"
29,700029,11223344029,29,11223344,11223,23,"NGWAKAMI","PAUL","1995-07-15",3,"Kanyama","Mwadubi",9,"SAMSON","MISUNGWI","JOSEPH","JUMANNE","F","2008-11-07","2009-09-07","New migrant new HH","M","Out migrant individual","ROMAN","MABULA"
30,700030,11223344030,30,11223344,11223,23,"ROSE","JIKU","2004-07-15",3,"Kanyama","Changabe",7,"HERENA","MSHIMO","LUZALIA","MATHIAS","M","2012-07-19","2014-09-11","Birth","R","Censored at last round","HARUNA","MASHIBA"
31,700031,11223344031,31,11223344,11223,23,"MPELWA","MATHIAS","2008-05-08",3,"Kanyama","Bukelebe",3,"JUMA","BUJASHI","MARTIN","JAMES","M","2008-10-05","2010-11-15","Birth","R","Censored at last round","JOHN","GABRIEL"
32,700032,11223344032,32,11223344,11223,23,"JOHN","EMMANUEL","1987-07-01",6,"Ihayabuyaga","Ihayabuyaga",1,"JOSEPH","JUMA","BAKOLAGE","JOHN","F","2006-04-14","2007-08-29","New migrant individual","R","Censored at last round","WILLSON","MPANDANG'WELI"
33,700033,11223344033,33,11223344,11223,23,"ELIZABETH","COSMAS","1998-07-15",1,"Igekemaja","Kisha",7,"LUSHOMI","JUMANNE","ALFREDI","MAYUNGA","F","2011-01-15","2014-05-12","Birth","M","Out migrant individual","DOMINICO","NGELELA"
34,700034,11223344034,34,11223344,11223,23,"JOSEPH","EMMANUEL","1987-07-01",1,"Igekemaja","Ihayabuyaga",1,"MASHAKA","NKELEJIWA","DALALI","NKONDO","M","2004-05-25","2008-04-15","Returning migrant","L","Lost to follow-up","SAMSON","KAGOSHA"
35,700035,11223344035,35,11223344,11223,23,"RETICIA","LUCAS","2006-08-15",2,"Kitumba","Mwaneneka",10,"ANGELINA","KALELEMA","CATHERINE","BUNANGO","F","2000-03-14","2001-10-01","Baseline","M","Out migrant individual","ELIAS","LEO"
36,700036,11223344036,36,11223344,11223,23,"ADELA","PETER","1965-03-24",4,"Kisesa","Ihala",4,"SAMWELI","NGOMBENGENI","JAMES","KAHINDI","F","1997-03-19","2002-07-15","New migrant individual","L","Lost to follow-up","DOTTO","MASWARA"
37,700037,11223344037,37,11223344,11223,23,"LULI","EDWARD","1979-07-15",4,"Kisesa","Kitumba A",3,"SENI","LUCHANGANYA","LOVETA","DOSELE","M","2011-06-09","2014-06-26","New migrant individual","M","Out migrant individual","KACHWELE","IZENGO"
38,700038,11223344038,38,11223344,11223,23,"GARULA","MARTIN","1995-07-15",6,"Ihayabuyaga","Ihayabuyaga",1,"JUMA","LUBITILA","BERTHA","MBOLINGO","F","2002-11-15","2005-04-15","Returning migrant","M","Out migrant whole HH","BAGOLELE","EMMANUEL"
39,700039,11223344039,39,11223344,11223,23,"MARIA","DEUSI","1973-07-01",4,"Kisesa","Mwabuki",4,"LETISIA","WILLIAM","NYAMATE","ANDIKIJA","F","2004-08-27","2009-01-15","Birth","M","Out migrant individual","MALUGU","SHILATU"
40,700040,11223344040,40,11223344,11223,23,"SUZANA","SHASHI","2012-12-09",6,"Ihayabuyaga","Ilendeja",5,"MARCO","MUSSA","ELIAS","BALUHI","M","2000-01-19","2000-08-30","New migrant individual","R","Censored at last round","MASHIKU","MASHENENHE"
41,700041,11223344041,41,11223344,11223,23,"LAZARO","ELIAS","1956-07-15",3,"Kanyama","Wita",3,"SAMWEL","MLAGWA","JIMMY","MHANGWA","M","2013-04-08","2014-08-14","Returning migrant","M","Out migrant individual","JUVENARY","LUSHANGA"
42,700042,11223344042,42,11223344,11223,23,"FROLA","CHARLES","1986-04-15",4,"Kisesa","Ng'wabongoso",2,"YOHANA","MICHAEL","MARIA","rozari","F","2009-04-21","2009-07-15","New migrant individual","M","Out migrant individual","KAKELE","GODFREY"
43,700043,11223344043,43,11223344,11223,23,"TABU","LUCHANGANYA","1991-07-15",1,"Igekemaja","Mwabuki",4,"FAIDA","ABDALAH","PAUL","EMMANUEL","F","2011-05-11","2013-12-15","Baseline","R","Censored at last round","KATEMI","CHAMBA"
44,700044,11223344044,44,11223344,11223,23,"SABUDA","MARICEL","2014-01-31",4,"Kisesa","Lumve",2,"MARITINE","YOMBO","PENDO","GWANCHELE","F","1994-10-15","2013-09-15","Returning migrant","R","Censored at last round","METRIDA","MAGOBE"
45,700045,11223344045,45,11223344,11223,23,"NDABACHA","MAYIKU","1999-04-15",1,"Igekemaja","Ng’wang’halanga",4,"JAMES","JUMA","MAZENGO","LENDA","F","2003-07-10","2005-02-15","Returning migrant","M","Out migrant whole HH","DAUD","MPANDUJI"
46,700046,11223344046,46,11223344,11223,23,"ABEL","LAMECK","1984-11-23",3,"Kanyama","Ilagaja",2,"UNKNOWN","MICHAEL","ELIAS","LUCAS","F","2008-02-05","2008-12-15","New migrant new HH","R","Censored at last round","BOKE","SAIMON"
47,700047,11223344047,47,11223344,11223,23,"PAULO","JOHN","1992-01-15",4,"Kisesa","Kitumba B",4,"DOTTO","MADIRISHA","DAUD","MALOLE","M","2006-06-15","2007-06-15","New migrant new HH","M","Out migrant whole HH","NGOYAYI","MAGASHI"
48,700048,11223344048,48,11223344,11223,23,"LUCAS","NGWITEGI","1976-07-15",5,"Isangijo","Ikengele",7,"ROBERT","KAMATA","SUSANA","MACHO","M","2007-01-15","2008-11-15","Returning migrant","M","Out migrant whole HH","KATEGESHA","KENGELE"
49,700049,11223344049,49,11223344,11223,23,"LAEH","PASTORY","1962-07-15",4,"Kisesa","Ng'wabongoso",2,"MERESIANA","PETER","EMMANUEL","KAHUNGU","F","2007-10-23","2011-08-01","New migrant new HH","M","Out migrant whole HH","KABULA","JOHN"
50,700050,11223344050,50,11223344,11223,23,"GODFREY","NYUMA","1954-07-15",7,"Welamasonga","Wita",3,"AMOS","KISABO","TATU","MICHAEL","M","2008-02-05","2010-04-06","New migrant new HH","R","Censored at last round","MPIN'GWA","MISUNGWI"
51,700051,11223344051,51,11223344,11223,23,"DOTTO","SALU","1949-07-15",1,"Igekemaja","Wita",3,"EMMANUEL","NGALU","SUZANA","SHADRAK","F","2012-12-24","2014-08-22","New migrant individual","L","Lost to follow-up","BANTATOGAGWA","KALANGALIGA"
52,700052,11223344052,52,11223344,11223,23,"ZABRON","JONAS","1971-06-15",3,"Kanyama","Kitumba B",4,"CHRISTOPHER","LUTANDULA","JAMES","YAKOBO","F","2013-02-08","2014-07-15","Baseline","M","Out migrant individual","MINZIMALI","NTABAGI"
53,700053,11223344053,53,11223344,11223,23,"JANE","SOSPTER","1986-07-15",3,"Kanyama","Wita",3,"MABINA","PALO","ANDREA","KANYALALA","M","2010-11-23","2014-09-10","New migrant new HH","M","Out migrant whole HH","KAROLI","SUKILA"
54,700054,11223344054,54,11223344,11223,23,"FADHILI","ABEDNEGO","2006-11-24",6,"Ihayabuyaga","Iseni Bondeni",2,"JAMES","ELIAS","DAUDI","MHANGWA","M","2014-09-05","2014-09-05","Birth","M","Out migrant individual","PAUL","STEPHANO"
55,700055,11223344055,55,11223344,11223,23,"KILENI","YAMIHWA","1986-07-15",1,"Igekemaja","Ihayabuyaga",1,"JAMES","KULWA","SHITUNGULU","SUKILA","M","2008-04-16","2009-07-15","New migrant individual","M","Out migrant individual","JAMES","MICHAEL"
56,700056,11223344056,56,11223344,11223,23,"NEEMA","WILLIAM","1966-07-15",4,"Kisesa","Bukandwe",2,"ASTERIA","NANDALA","DIANA","SANJO","F","2003-08-15","2011-03-24","New migrant individual","M","Out migrant individual","ANASTAZIA","GABULIMA"
57,700057,11223344057,57,11223344,11223,23,"EUNICE","KIYUMBI","1954-06-15",5,"Isangijo","Mwadubi",9,"BARNABA","NDELENGE","CATHERINE","KILANGI","F","1994-08-17","1995-05-07","Returning migrant","R","Censored at last round","MINZAMALI","CHARLES"
58,700058,11223344058,58,11223344,11223,23,"MELESIAN","DAMAS","1982-07-01",4,"Kisesa","Iseni Bondeni",2,"ZEPHANIA","BUPANDASI","MATHIAS","BUZENGANWA","M","2013-04-22","2014-09-24","New migrant individual","M","Out migrant whole HH","DIANA","SAMSON"
59,700059,11223344059,59,11223344,11223,23,"MARY","MKUMBIJA","2007-08-01",4,"Kisesa","Igudija B",2,"REDEMTUS","KADOTO","PHILIPO","BUHABE","F","2008-01-31","2008-06-04","New migrant individual","M","Out migrant individual","LYALUKILO","MISINZO"
60,700060,11223344060,60,11223344,11223,23,"KUROLA","SHIJA","1993-12-15",6,"Ihayabuyaga","Ilendeja",5,"ZAINAB","MASOTA","NDALAHWA","SAMSON","F","1997-03-23","2007-07-15","New migrant new HH","R","Censored at last round","PETER","ANTONY"
61,700061,11223344061,61,11223344,11223,23,"PAULINA","SANYIWA","1977-07-15",3,"Kanyama","Wita",3,"DOTTO","BONIPHAS","MARTINE","KUBU","M","2002-12-06","2008-09-15","New migrant individual","M","Out migrant individual","JOHN","FAUSTINE"
62,700062,11223344062,62,11223344,11223,23,"BERTHA","NG'WANHALE","1963-10-17",4,"Kisesa","Bukandwe",2,"DAMAS","SULUBA","MAKOYE","LIMBE","M","2003-10-30","2005-01-15","Baseline","M","Out migrant individual","LABAN","CLEMENT"
63,700063,11223344063,63,11223344,11223,23,"MATHA","CHARLES","1972-07-01",4,"Kisesa","Iseni Mlimani",1,"DAUD","MDACHI","MABISI","KAZIMOTO","F","2008-02-29","2014-06-23","Returning migrant","R","Censored at last round","YELLA","LUTOBEKA"
64,700064,11223344064,64,11223344,11223,23,"SAMWELI","JOSEPH","1999-07-15",4,"Kisesa","Ng’wang’halanga",4,"RICHARD","LUTANDULA","SAFARI","MALULU","F","2012-09-05","2012-12-14","New migrant new HH","M","Out migrant individual","WILLIAM","LUSHINGE"
65,700065,11223344065,65,11223344,11223,23,"JOSEPH","TULO","2008-07-15",7,"Welamasonga","Kisesa Kati",1,"DOTTO","YOMBO","SABINA","FAUSTINE","F","2012-12-15","2014-04-22","New migrant new HH","D","Died","NYERERE","RENATUS"
66,700066,11223344066,66,11223344,11223,23,"PAUL","LUCKA","1972-07-15",6,"Ihayabuyaga","Iseni Bondeni",2,"ANGELINA","KAHUNGU","ADERAIDA","LWAMBA","M","2007-02-15","2010-10-15","New migrant individual","M","Out migrant whole HH","MODESTA","RAMADHANI"
67,700067,11223344067,67,11223344,11223,23,"WENCESLAUS","MUSSA","1965-07-15",7,"Welamasonga","Mondo",8,"MARY","KULWA","MASOMI","JEREMANUS","M","2010-11-15","2014-09-02","New migrant new HH","M","Out migrant individual","KIJUNGU","MAZIKU"
68,700068,11223344068,68,11223344,11223,23,"YUSTA","YONA","2009-07-25",4,"Kisesa","Mwabuki",4,"MAKENZI","MDACHI","MARIAM","SAMSON","M","2014-06-15","2014-11-07","New migrant new HH","M","Out migrant whole HH","THOMAS","PETRO"
69,700069,11223344069,69,11223344,11223,23,"LIMI","MSAMBA","1977-07-15",2,"Kitumba","Mahilinga",1,"CHARLES","MASHIKU","LEONARD","MULAGWA","F","2008-01-15","2014-08-15","Baseline","R","Censored at last round","DEUS","GUNZE"
70,700070,11223344070,70,11223344,11223,23,"LAZARO","MAHUMBI","1982-07-15",2,"Kitumba","Mwabuki",4,"MERESIANA","KISABO","MASUNGA","KUBINI","M","1995-09-21","1996-02-01","New migrant individual","M","Out migrant whole HH","KULWA","ELIAS"
71,700071,11223344071,71,11223344,11223,23,"GRACE","ZACHARIA","2014-06-13",2,"Kitumba","Mondo",8,"STEPHAN","STEFANO","JOHN","KEMBA","F","1999-02-07","2004-06-15","New migrant new HH","M","Out migrant individual","JOSEPH","MABURA"
72,700072,11223344072,72,11223344,11223,23,"KIJA","PETER","1982-07-15",1,"Igekemaja","Igekemaja",1,"ROBERT","KAPAYA","SILAS","NGELELA","F","2006-05-18","2007-03-31","New migrant new HH","R","Censored at last round","KAHABI","SEBA"
73,700073,11223344073,73,11223344,11223,23,"SARA","MWEBEYA","2012-12-29",4,"Kisesa","Ikangabuta",4,"TOBIAS","MISALABA","SIMON","MALULU","M","2011-10-18","2014-07-15","Baseline","M","Out migrant individual","SUZANA","SUSU"
74,700074,11223344074,74,11223344,11223,23,"RAHEL","SIMON","2004-11-30",7,"Welamasonga","Kisesa Kati",1,"MASHAKA","BUKELEBE","CLOUD","MICA","F","2012-08-01","2012-12-20","New migrant new HH","R","Censored at last round","MASOMI","KAGOSHA"
75,700075,11223344075,75,11223344,11223,23,"NOEL","MATANGAZO","1991-07-15",7,"Welamasonga","Kanami",3,"ZACHARIA","NGILIMULA","PAULINA","KAZIMIRI","F","1999-05-12","2006-10-15","New migrant new HH","M","Out migrant individual","LUKAS","CLEMENT"
76,700076,11223344076,76,11223344,11223,23,"AMOS","MARCO","1974-06-15",1,"Igekemaja","Iseni Bondeni",2,"MALIGANYA","BONIPHAS","MAYALA","TRYPHONE","M","2003-08-15","2014-01-15","Baseline","R","Censored at last round","MANEH","BUSUNGU"
77,700077,11223344077,77,11223344,11223,23,"MARIETA","ENOS","2007-07-15",6,"Ihayabuyaga","Ng'wahuli",6,"EMMANUEL","TEYE","MALONGO","MACHIMU","F","2011-12-04","2012-05-01","New migrant new HH","R","Censored at last round","JUKE","MUHULU"
78,700078,11223344078,78,11223344,11223,23,"MARIAM","SOSPETER","2002-07-01",2,"Kitumba","Kisesa Kati",1,"NYEGERA","MOLAGWA","MAYALA","DUBA","M","2011-11-28","2014-09-08","Birth","M","Out migrant whole HH","TATU","WILLIAM"
79,700079,11223344079,79,11223344,11223,23,"FROLA","MAKUNGU","2001-07-15",2,"Kitumba","Iseni Bondeni",2,"MASUMBUKO","KAZWEBE","YOHANA","YAKOBO","F","2012-10-15","2013-08-15","Baseline","R","Censored at last round","SALOME","SAMWEL"
80,700080,11223344080,80,11223344,11223,23,"WILLIAM","SUTE","2005-07-15",4,"Kisesa","Ng’wandulu",5,"METHOD","MASAMALAJA","ANDREA","JACKSON","F","1996-02-25","2014-01-15","New migrant individual","M","Out migrant individual","LETICIA","ANDREA"
81,700081,11223344081,81,11223344,11223,23,"JAMES","NGASA","1995-07-15",5,"Isangijo","Iseni Bondeni",2,"FUKI","ALEFRREDY","MARIAM","KAZIMOTO","M","2012-08-31","2014-09-01","New migrant new HH","M","Out migrant whole HH","SILVESTER","SAID"
82,700082,11223344082,82,11223344,11223,23,"THOMAS","JUMA","2000-07-15",4,"Kisesa","Ihala",4,"WILLIUM","MSHONO","RAZALO","BUTONGO","M","1995-05-15","2011-05-15","New migrant individual","D","Died","PETRO","MASHIMBA"
83,700083,11223344083,83,11223344,11223,23,"MSTAPHA","JEREMIAH","2008-09-15",5,"Isangijo","Igunga",3,"FANUEL","KUSEKWA","TIZIRA","KILAGA","M","1994-05-02","2002-12-09","New migrant new HH","R","Censored at last round","FELISTER","MALELE"
84,700084,11223344084,84,11223344,11223,23,"YOSEFU","PETER","1974-07-15",2,"Kitumba","Nkola",2,"YOHANA","DUNDO","DENIS","JOSEPH","F","2003-02-06","2005-07-31","New migrant new HH","D","Died","SOPHIA","PETROL"
85,700085,11223344085,85,11223344,11223,23,"CHRISTINA","SITA","1990-06-15",4,"Kisesa","Ng'wabongoso",2,"SUZANA","MIDAMO","MARTHA","KATENDELE","F","1994-08-31","1995-01-06","New migrant individual","M","Out migrant individual","NZELA","LULINDA"
86,700086,11223344086,86,11223344,11223,23,"MUSSA","USIRONDE","1997-05-26",4,"Kisesa","Kisesa Kati",1,"JOSEPH","KAPAYA","TITO","MANG'OMA","M","2000-01-27","2000-10-06","New migrant individual","M","Out migrant whole HH","PAULINA","LUSHINGE"
87,700087,11223344087,87,11223344,11223,23,"THABIZA","SAMWEL","1999-10-26",3,"Kanyama","Igudija A",1,"MERESIANA","CHARLES","ASIA","JOHN","M","2011-11-28","2013-07-01","New migrant new HH","M","Out migrant individual","MLYAKANGA","GERVAS"
88,700088,11223344088,88,11223344,11223,23,"KASIKA","ROBERT","1990-07-15",2,"Kitumba","Wita",3,"YONA","RYEMA","MARIAM","GENDO","M","1994-08-12","1996-02-04","New migrant new HH","M","Out migrant individual","CLEMENT","MAKWEGA"
89,700089,11223344089,89,11223344,11223,23,"MINYALO","SHUGHULI","2014-02-21",3,"Kanyama","Nyan’helela",6,"SHIJA","LILE","MARTA","KIMASA","M","2009-10-16","2010-07-15","New migrant individual","M","Out migrant individual","MARIAM","LUTENYA"
90,700090,11223344090,90,11223344,11223,23,"HATARI","ENOS","1998-11-14",3,"Kanyama","Kisha",7,"SWED","KACHUNGWA","PHILIPO","KAMUGA","F","2011-03-17","2013-03-23","New migrant individual","R","Censored at last round","SCOLASTICA","SAMSON"
91,700091,11223344091,91,11223344,11223,23,"CHRISINA","FARES","1975-07-01",1,"Igekemaja","Kisesa Kati",1,"MASUMBUKO","KAHUNGU","BERNADETA","MADUKA","F","2011-08-23","2014-06-11","Birth","L","Lost to follow-up","JOHN","SAMWELI"
92,700092,11223344092,92,11223344,11223,23,"JULIANA","ABEL","2006-06-15",3,"Kanyama","Igunga",3,"MASHAKA","KAYEGO","LAZARO","MAREKANA","M","2000-10-21","2001-10-30","New migrant new HH","M","Out migrant whole HH","MONICA","MBINZALILE"
93,700093,11223344093,93,11223344,11223,23,"MASANJA","LUGOGA","2007-07-15",4,"Kisesa","Igumo",4,"MABU","SITTA","JOHN","MAKOYE","M","2014-01-11","2014-04-22","New migrant individual","R","Censored at last round","YOHANA","NZUMBI"
94,700094,11223344094,94,11223344,11223,23,"ELIZABETH","WILLIAM","2008-11-01",7,"Welamasonga","Kitumba B",4,"BUGA","MIDAMO","FOCUS","BUNDALA","M","2013-05-06","2013-10-15","New migrant individual","R","Censored at last round","GERVAS","YUNGE"
95,700095,11223344095,95,11223344,11223,23,"MARY","PAUL","1990-07-15",7,"Welamasonga","Ilendeja",5,"JUMA","CHANANJA","JOHN","KONDELA","F","2014-07-18","2014-07-18","Birth","M","Out migrant individual","JUMA","GAPI"
96,700096,11223344096,96,11223344,11223,23,"ZAINAB","TIMOS","2005-08-05",1,"Igekemaja","Kisesa Kati",1,"DAUDI","SABUNI","JOEL","JAMES","F","2008-01-18","2009-08-01","New migrant new HH","M","Out migrant individual","PILI","NGILIMLA"
97,700097,11223344097,97,11223344,11223,23,"LUCAS","MASHAURI","2008-04-12",7,"Welamasonga","Kisesa Kati",1,"FAIDA","KAZUNGU","LEONARD","BUYUNGU","M","2002-11-15","2009-08-15","Birth","M","Out migrant individual","REBEKA","LUBINZA"
98,700098,11223344098,98,11223344,11223,23,"SWAKARA","PASTORY","1984-07-15",3,"Kanyama","Nyan’helela",6,"MALIGANYA","MICHAEL","BONIFASI","JOSEPH","F","2011-10-11","2012-06-15","New migrant individual","M","Out migrant individual","JERADI","RASHID"
99,700099,11223344099,99,11223344,11223,23,"MARTINE","ANDREW","2004-01-15",7,"Welamasonga","Ng’wang’halanga",4,"BARNABA","UNKNOWN","LUCAS","BUGOTTA","F","2009-01-15","2014-07-21","New migrant new HH","D","Died","DAUDI","LUSHINGE"
100,700100,11223344100,100,11223344,11223,23,"SUZANA","SAMSON","2008-05-05",5,"Isangijo","Igekemaja",1,"BLANK","JOHN","FALA","WILLIAM","M","2013-05-31","2014-07-23","Birth","R","Censored at last round","NYUMA","JOHN"
